"","x","y","row","col","tipe","jenis","sistem"
"354",43.45,22.95,9,6,"karet","karet","kompleks"
"355",43.45,25.65,10,6,"karet","karet","kompleks"
"356",43.45,28.35,11,6,"karet","karet","kompleks"
"357",43.45,31.05,12,6,"karet","karet","kompleks"
"358",43.45,33.75,13,6,"karet","karet","kompleks"
"359",43.45,36.45,14,6,"karet","karet","kompleks"
"360",43.45,39.15,15,6,"karet","karet","kompleks"
"361",43.45,41.85,16,6,"karet","karet","kompleks"
"362",43.45,44.55,17,6,"karet","karet","kompleks"
"363",43.45,47.25,18,6,"karet","karet","kompleks"
"364",43.45,49.95,19,6,"karet","karet","kompleks"
"365",2.05,2,1,1,"light","Pulai","kompleks"
"366",2.05,6,2,1,"light","Jabon","kompleks"
"367",2.05,10,3,1,"light","Pulai","kompleks"
"368",2.05,14,4,1,"light","Jabon","kompleks"
"369",2.05,18,5,1,"light","Pulai","kompleks"
"370",2.05,22,6,1,"light","Jabon","kompleks"
"371",2.05,26,7,1,"light","Pulai","kompleks"
"372",2.05,30,8,1,"light","Jabon","kompleks"
"373",2.05,34,9,1,"light","Pulai","kompleks"
"374",2.05,38,10,1,"light","Jabon","kompleks"
"375",2.05,42,11,1,"light","Pulai","kompleks"
"376",2.05,46,12,1,"light","Jabon","kompleks"
"377",2.05,50,13,1,"light","Pulai","kompleks"
"378",13.35,0,1,2,"light","Jabon","kompleks"
"379",13.35,4,2,2,"light","Pulai","kompleks"
"380",13.35,8,3,2,"light","Jabon","kompleks"
"381",13.35,12,4,2,"light","Pulai","kompleks"
"382",13.35,16,5,2,"light","Jabon","kompleks"
"383",13.35,20,6,2,"light","Pulai","kompleks"
"384",13.35,24,7,2,"light","Jabon","kompleks"
"385",13.35,28,8,2,"light","Pulai","kompleks"
"386",13.35,32,9,2,"light","Jabon","kompleks"
"387",13.35,36,10,2,"light","Pulai","kompleks"
"388",13.35,40,11,2,"light","Jabon","kompleks"
"389",13.35,44,12,2,"light","Pulai","kompleks"
"390",13.35,48,13,2,"light","Jabon","kompleks"
"391",19.35,2,1,3,"light","Pulai","kompleks"
"392",19.35,6,2,3,"light","Jabon","kompleks"
"393",19.35,10,3,3,"light","Pulai","kompleks"
"394",19.35,14,4,3,"light","Jabon","kompleks"
"395",19.35,18,5,3,"light","Pulai","kompleks"
"396",19.35,22,6,3,"light","Jabon","kompleks"
"397",19.35,26,7,3,"light","Pulai","kompleks"
"398",19.35,30,8,3,"light","Jabon","kompleks"
"399",19.35,34,9,3,"light","Pulai","kompleks"
